ville,adresse,type,date,prix,surface,operation,description,surface_predicted
Casablanca,Sbata,Appartement,21/04/2026,555000,74.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 74 m² Casablanca  « Sbata »",
Casablanca,Ain Sebaa,Appartement,20/04/2026,720000,85.0,à vendre,"1 chambre, 2 salon. Appartement meublé 3 pièces 85 m² Casablanca  « Ain Sebaa »",
Casablanca,Non spécifié,Appartement,19/04/2026,1600000,140.0,à vendre,"4 chambre, 1 salon, avec Garage. Appartement meublé 5 pièces 140 m² Casablanca",
Casablanca,Les Princesses,Appartement,18/04/2026,2150000,144.0,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 144 m² Casablanca  « Les Princesses »",
Casablanca,Roches Noires,Appartement,18/04/2026,1062500,85.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 85 m² Casablanca  « Roches Noires »",
Casablanca,Sidi Bernoussi,Appartement,17/04/2026,340000,55.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 55 m² Casablanca  « Sidi Bernoussi »",
Casablanca,Hay Hassani,Appartement,14/04/2026,1280000,209.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 209 m² Casablanca  « Hay Hassani »",
Casablanca,Sidi Maarouf,Appartement,13/04/2026,790000,84.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 84 m² Casablanca  « Sidi Maarouf »",
Casablanca,Oulfa,Appartement,11/04/2026,380000,53.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 53 m² Casablanca  « Oulfa »",
Casablanca,Palmier,Appartement,10/04/2026,1340000,47.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 47 m² Casablanca  « Palmier »",
Casablanca,Oulfa,Appartement,10/04/2026,700000,66.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 66 m² Casablanca  « Oulfa »",
Casablanca,Sidi Moumen,Appartement,09/04/2026,420000,64.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 64 m² Casablanca  « Sidi Moumen »",
Casablanca,Non spécifié,Appartement,07/04/2026,220000,60.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 60 m² Casablanca",
Casablanca,Maârif Extension,Appartement,06/04/2026,1038500,63.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 63 m² Casablanca  « Maârif Extension »",
Casablanca,Nassim,Appartement,05/04/2026,800000,88.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 88 m² Casablanca  « Nassim »",
Casablanca,Palmier,Appartement,03/04/2026,1152000,40.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 40 m² Casablanca  « Palmier »",
Casablanca,Sidi Moumen,Appartement,31/03/2026,530000,73.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 73 m² Casablanca  « Sidi Moumen »",
Casablanca,Maârif Extension,Appartement,30/03/2026,1089000,52.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 52 m² Casablanca  « Maârif Extension »",
Casablanca,Aïn Borja,Appartement,29/03/2026,920000,97.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 97 m² Casablanca  « Aïn Borja »",
Casablanca,Hay Albaraka,Appartement,28/03/2026,600000,75.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 75 m² Casablanca  « Hay Albaraka »",
Casablanca,Hay Mohammadi,Appartement,27/03/2026,1600000,192.0,à vendre,Appartement   192 m² Casablanca  « Hay Mohammadi »,
Casablanca,Palmier,Appartement,27/03/2026,1120000,40.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 40 m² Casablanca  « Palmier »",
Casablanca,Palmier,Appartement,27/03/2026,2260000,100.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 100 m² Casablanca  « Palmier »",
Casablanca,Palmier,Appartement,27/03/2026,2060000,87.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 87 m² Casablanca  « Palmier »",
Casablanca,Oulfa,Appartement,26/03/2026,440000,51.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 51 m² Casablanca  « Oulfa »",
Casablanca,Californie,Appartement,26/03/2026,1456000,112.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 112 m² Casablanca  « Californie »",
Casablanca,Non spécifié,Appartement,26/03/2026,520000,62.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 62 m² Casablanca",
Casablanca,Oulfa,Appartement,26/03/2026,350000,50.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 50 m² Casablanca  « Oulfa »",
Casablanca,Non spécifié,Appartement,25/03/2026,680000,72.0,à vendre,2 chambre. Appartement meublé 2 pièces 72 m² Casablanca,
Casablanca,Hôpitaux,Appartement,25/03/2026,4446000,156.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 156 m² Casablanca  « Hôpitaux »",
Casablanca,Sidi Moumen,Appartement,24/03/2026,250000,50.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 50 m² Casablanca  « Sidi Moumen »",
Casablanca,Belvédère,Appartement,23/03/2026,1300000,79.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 79 m² Casablanca  « Belvédère »",
Casablanca,Al Qods,Appartement,23/03/2026,820000,91.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 91 m² Casablanca  « Al Qods »",
Casablanca,Les Princesses,Appartement,18/03/2026,1250000,42.0,à vendre,"1 chambre, 1 salon. Appartement meublé 2 pièces 42 m² Casablanca  « Les Princesses »",
Casablanca,Val Fleuri,Appartement,13/03/2026,1475000,97.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 97 m² Casablanca  « Val Fleuri »",
Casablanca,Maârif Extension,Appartement,08/03/2026,1150000,104.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 104 m² Casablanca  « Maârif Extension »",
Casablanca,Route D'azemmour,Appartement,08/03/2026,350000,60.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 60 m² Casablanca  « Route D'azemmour »",
Casablanca,Non spécifié,Appartement,08/03/2026,540000,65.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 65 m² Casablanca",
Casablanca,Hay Inara,Appartement,05/03/2026,900000,86.0,à vendre,"2 chambre, 2 salon. Appartement meublé 4 pièces 86 m² Casablanca  « Hay Inara »",
Casablanca,2 Mars,Appartement,05/03/2026,1300000,84.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 84 m² Casablanca  « 2 Mars »",
Casablanca,Centre Ville,Appartement,05/03/2026,770000,77.0,à vendre,"1 chambre, 2 salon. Appartement  3 pièces 77 m² Casablanca  « Centre Ville »",
Casablanca,Bourgogne,Appartement,03/03/2026,2499999,153.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 153 m² Casablanca  « Bourgogne »",
Casablanca,Errahma,Appartement,28/02/2026,850000,78.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 78 m² Casablanca  « Errahma »",
Casablanca,Sidi Othmane,Appartement,28/02/2026,315000,56.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 56 m² Casablanca  « Sidi Othmane »",
Casablanca,Non spécifié,Appartement,25/02/2026,620000,84.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 84 m² Casablanca",
Casablanca,Bourgogne,Appartement,24/02/2026,2235000,122.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 122 m² Casablanca  « Bourgogne »",
Casablanca,Non spécifié,Appartement,23/02/2026,900000,59.0,à vendre,"1 chambre, 1 salon. Appartement meublé 2 pièces 59 m² Casablanca",
Casablanca,Aïn Chock,Appartement,20/02/2026,1940000,93.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 93 m² Casablanca  « Aïn Chock »",
Casablanca,Gauthier,Appartement,17/02/2026,4100000,181.0,à vendre,"4 chambre, 3 salon, avec Garage. Appartement meublé 7 pièces 181 m² Casablanca  « Gauthier »",
Casablanca,Almaz,Appartement,17/02/2026,1200000,84.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 84 m² Casablanca  « Almaz »",
Casablanca,Nassim,Appartement,15/02/2026,1570000,126.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 126 m² Casablanca  « Nassim »",
Casablanca,Beauséjour,Appartement,11/02/2026,1300000,100.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 100 m² Casablanca  « Beauséjour »",
Casablanca,Errahma,Appartement,10/02/2026,330000,54.0,à vendre,"1 chambre, 2 salon. Appartement  3 pièces 54 m² Casablanca  « Errahma »",
Casablanca,Hay Moulay Rachid 1,Appartement,08/02/2026,550000,75.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 75 m² Casablanca  « Hay Moulay Rachid 1 »",
Casablanca,Maârif Extension,Appartement,05/02/2026,1044000,52.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 52 m² Casablanca  « Maârif Extension »",
Rabat,Hassan,Appartement,23/04/2026,1050000,40.0,à vendre,"1 chambre, 1 salon, avec Garage. Appartement  2 pièces 40 m² Rabat  « Hassan »",
Rabat,Hay El Fath,Appartement,23/04/2026,1330000,100.0,à vendre,"3 chambre, 1 salon. Appartement meublé 4 pièces 100 m² Rabat  « Hay El Fath »",
Rabat,Agdal,Appartement,10/04/2026,2850000,137.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 137 m² Rabat  « Agdal »",
Rabat,Agdal,Appartement,01/04/2026,2618000,119.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 119 m² Rabat  « Agdal »",
Rabat,Hassan,Appartement,28/03/2026,2970000,110.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 110 m² Rabat  « Hassan »",
Rabat,Océan,Appartement,28/03/2026,2880000,120.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 120 m² Rabat  « Océan »",
Rabat,Non spécifié,Appartement,05/03/2026,620000,68.0,à vendre,"2 chambre, avec Garage. Appartement  2 pièces 68 m² Rabat",
Rabat,Agdal,Appartement,25/02/2026,2500000,103.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 103 m² Rabat  « Agdal »",
Rabat,Hassan,Appartement,04/02/2026,1672000,88.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 88 m² Rabat  « Hassan »",
Fès,Mont Fleuri,Appartement,23/04/2026,340000,86.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 86 m² Fès  « Mont Fleuri »",
Fès,Centre,Appartement,13/04/2026,1100000,113.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement meublé 5 pièces 113 m² Fès  « Centre »",
Fès,Tghat,Appartement,04/04/2026,480000,78.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 78 m² Fès  « Tghat »",
Fès,Mont Fleuri 2,Appartement,25/03/2026,520000,98.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 98 m² Fès  « Mont Fleuri 2 »",
Fès,Non spécifié,Appartement,25/03/2026,1050000,145.0,à vendre,"3 chambre, 3 salon, avec Garage. Appartement  6 pièces 145 m² Fès",
Fès,Hay Saada,Appartement,23/03/2026,550000,155.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 155 m² Fès  « Hay Saada »",
Fès,Narjis,Appartement,24/02/2026,8000000,130.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 130 m² Fès  « Narjis »",
Fès,Mont Fleuri,Appartement,24/02/2026,450000,130.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 130 m² Fès  « Mont Fleuri »",
Fès,Mont Fleuri,Appartement,14/02/2026,390000,81.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 81 m² Fès  « Mont Fleuri »",
Fès,Saies,Appartement,11/02/2026,820000,129.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement meublé 4 pièces 129 m² Fès  « Saies »",
Fès,Route De Meknes,Appartement,08/02/2026,480000,99.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 99 m² Fès  « Route De Meknes »",
Fès,Non spécifié,Appartement,06/02/2026,650000,50.0,à vendre,"1 chambre, 2 salon. Appartement  3 pièces 50 m² Fès",
Fès,Non spécifié,Appartement,05/02/2026,950000,147.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 147 m² Fès",
Fès,Narjis,Appartement,02/02/2026,540000,90.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 90 m² Fès  « Narjis »",
Marrakech,Hay Izdihar,Appartement,04/05/2026,1000000,82.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 82 m² Marrakech  « Hay Izdihar »",
Marrakech,Mabrouka,Appartement,04/05/2026,1300000,75.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 75 m² Marrakech  « Mabrouka »",
Marrakech,M'hamid,Appartement,26/04/2026,500000,54.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 54 m² Marrakech  « M'hamid »",
Marrakech,Semlalia,Appartement,23/04/2026,3000000,100.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 100 m² Marrakech  « Semlalia »",
Marrakech,Les Portes De Marrakech,Appartement,23/04/2026,400000,50.0,à vendre,2 chambre. Appartement  2 pièces 50 m² Marrakech  « Les Portes De Marrakech »,
Marrakech,Hay Izdihar,Appartement,22/04/2026,1001000,77.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 77 m² Marrakech  « Hay Izdihar »",
Marrakech,Daoudiate,Appartement,11/04/2026,960000,90.0,à vendre,"2 chambre, 2 salon. Appartement meublé 4 pièces 90 m² Marrakech  « Daoudiate »",
Marrakech,M'hamid,Appartement,08/04/2026,660000,72.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 72 m² Marrakech  « M'hamid »",
Marrakech,Amerchich,Appartement,30/03/2026,1335000,89.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 89 m² Marrakech  « Amerchich »",
Marrakech,M'hamid,Appartement,15/03/2026,520000,66.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 66 m² Marrakech  « M'hamid »",
Marrakech,Azli,Appartement,04/03/2026,430000,70.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 70 m² Marrakech  « Azli »",
Marrakech,Av Abdelkrim El Khattabi,Appartement,28/02/2026,1450000,92.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 92 m² Marrakech  « Av Abdelkrim El Khattabi »",
Marrakech,M'hamid,Appartement,26/02/2026,750000,88.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 88 m² Marrakech  « M'hamid »",
Marrakech,Victor Hugo,Appartement,25/02/2026,2000000,117.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 117 m² Marrakech  « Victor Hugo »",
Marrakech,Guéliz,Appartement,25/02/2026,2200000,105.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 105 m² Marrakech  « Guéliz »",
Marrakech,Assif,Appartement,24/02/2026,950000,93.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 93 m² Marrakech  « Assif »",
Marrakech,Non spécifié,Appartement,15/02/2026,1350000,84.0,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 84 m² Marrakech",
Marrakech,Non spécifié,Appartement,09/02/2026,1490000,93.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 93 m² Marrakech",
Marrakech,Guéliz,Appartement,09/02/2026,1800000,80.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 80 m² Marrakech  « Guéliz »",
Marrakech,Bab Ighli,Appartement,09/02/2026,2000000,97.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 97 m² Marrakech  « Bab Ighli »",
Marrakech,Azli,Appartement,08/02/2026,420000,64.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 64 m² Marrakech  « Azli »",
Tanger,Aharrarine,Appartement,28/04/2026,430000,66.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 66 m² Tanger  « Aharrarine »",
Tanger,Non spécifié,Appartement,28/04/2026,1740000,134.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 134 m² Tanger",
Tanger,Laaouina,Appartement,27/04/2026,950000,93.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 93 m² Tanger  « Laaouina »",
Tanger,Non spécifié,Appartement,27/04/2026,2800000,147.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 147 m² Tanger",
Tanger,Jirrari,Appartement,16/04/2026,858000,78.0,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 78 m² Tanger  « Jirrari »",
Tanger,Aharrarine,Appartement,15/04/2026,660000,66.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 66 m² Tanger  « Aharrarine »",
Tanger,Non spécifié,Appartement,14/04/2026,1500000,110.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 110 m² Tanger",
Tanger,Hay Hassani,Appartement,11/04/2026,1300000,65.0,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 65 m² Tanger  « Hay Hassani »",
Tanger,De La Plage,Appartement,05/04/2026,36000000,180.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 180 m² Tanger  « De La Plage »",
Tanger,Centre Ville,Appartement,02/04/2026,1050000,70.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 70 m² Tanger  « Centre Ville »",
Tanger,Non spécifié,Appartement,27/03/2026,3400000,120.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement meublé 4 pièces 120 m² Tanger",
Tanger,Administratif,Appartement,27/03/2026,3500000,150.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement meublé 4 pièces 150 m² Tanger  « Administratif »",
Tanger,Non spécifié,Appartement,27/03/2026,1200000,73.0,à vendre,"1 chambre, 2 salon. Appartement meublé 3 pièces 73 m² Tanger",
Tanger,Malabata,Appartement,25/03/2026,2220000,116.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 116 m² Tanger  « Malabata »",
Tanger,Non spécifié,Appartement,25/03/2026,2600000,127.0,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 127 m² Tanger",
Tanger,Non spécifié,Appartement,24/03/2026,690000,80.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 80 m² Tanger",
Tanger,Médina,Appartement,10/03/2026,3750000,150.0,à vendre,"3 chambre, 2 salon. Appartement meublé 5 pièces 150 m² Tanger  « Médina »",
Tanger,Malabata,Appartement,07/03/2026,1989000,102.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 102 m² Tanger  « Malabata »",
Tanger,Castilla,Appartement,28/02/2026,1700000,100.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 100 m² Tanger  « Castilla »",
Tanger,Sania,Appartement,27/02/2026,4300000,154.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 154 m² Tanger  « Sania »",
Tanger,Iberie,Appartement,27/02/2026,2500000,147.0,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 147 m² Tanger  « Iberie »",
Tanger,Non spécifié,Appartement,26/02/2026,2600000,178.0,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 178 m² Tanger",
Tanger,Aouama Gharbia,Appartement,26/02/2026,410000,65.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 65 m² Tanger  « Aouama Gharbia »",
Tanger,Malabata,Appartement,23/02/2026,1700000,105.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 105 m² Tanger  « Malabata »",
Tanger,Malabata,Appartement,23/02/2026,1150000,70.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 70 m² Tanger  « Malabata »",
Tanger,Centre Ville,Appartement,20/02/2026,1350000,101.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 101 m² Tanger  « Centre Ville »",
Tanger,Non spécifié,Appartement,19/02/2026,1855000,103.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 103 m² Tanger",
Tanger,Malabata,Appartement,14/02/2026,5250000,175.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 175 m² Tanger  « Malabata »",
Tanger,Non spécifié,Appartement,04/02/2026,4800000,196.0,à vendre,"4 chambre, 1 salon. Appartement  5 pièces 196 m² Tanger",
Tanger,Hay Hassani,Appartement,04/02/2026,960000,80.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 80 m² Tanger  « Hay Hassani »",
Tanger,Hay Hassani,Appartement,04/02/2026,860000,86.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 86 m² Tanger  « Hay Hassani »",
Tanger,Malabata,Appartement,02/02/2026,1550000,55.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 55 m² Tanger  « Malabata »",
Agadir,Haut Anza,Appartement,08/04/2026,880000,75.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 75 m² Agadir  « Haut Anza »",
Agadir,Haut Anza,Appartement,08/04/2026,980000,90.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 90 m² Agadir  « Haut Anza »",
Agadir,Haut Anza,Appartement,08/04/2026,890000,73.0,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 73 m² Agadir  « Haut Anza »",
Agadir,Amsernate,Appartement,16/03/2026,950000,78.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 78 m² Agadir  « Amsernate »",
Agadir,Hay Salam,Appartement,14/03/2026,1568000,112.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 112 m² Agadir  « Hay Salam »",
Agadir,Hay Mohammadi,Appartement,17/02/2026,650000,55.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 55 m² Agadir  « Hay Mohammadi »",
Agadir,Hay Salam,Appartement,13/02/2026,800000,100.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 100 m² Agadir  « Hay Salam »",
Oujda,Non spécifié,Appartement,10/04/2026,740000,141.0,à vendre,"4 chambre, 1 salon. Appartement  5 pièces 141 m² Oujda",
Oujda,Non spécifié,Appartement,20/02/2026,250000,56.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 56 m² Oujda",
Kénitra,El Assam,Appartement,22/04/2026,270000,45.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 45 m² Kenitra  « El Assam »",
Kénitra,Centre,Appartement,30/03/2026,1400000,150.0,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 150 m² Kenitra  « Centre »",
Kénitra,Centre,Appartement,11/03/2026,980000,107.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement meublé 4 pièces 107 m² Kenitra  « Centre »",
Kénitra,Assam,Appartement,25/02/2026,700000,128.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 128 m² Kenitra  « Assam »",
Kénitra,Bir Rami,Appartement,20/02/2026,440000,90.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 90 m² Kenitra  « Bir Rami »",
Kénitra,Non spécifié,Appartement,13/02/2026,490000,78.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 78 m² Kenitra",
Salé,Abouab Sala,Appartement,04/05/2026,420000,60.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 60 m² Salé  « Abouab Sala »",
Salé,Sala El Jadida,Appartement,26/04/2026,570000,63.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 63 m² Salé  « Sala El Jadida »",
Salé,Said Hajji,Appartement,23/04/2026,780000,87.0,à vendre,"2 chambre, 2 salon, avec Garage. Appartement  4 pièces 87 m² Salé  « Said Hajji »",
Salé,Hay Chmaou,Appartement,13/04/2026,550000,61.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 61 m² Salé  « Hay Chmaou »",
Salé,Sala El Jadida,Appartement,11/04/2026,740000,91.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 91 m² Salé  « Sala El Jadida »",
Salé,Non spécifié,Appartement,07/04/2026,450000,96.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 96 m² Salé",
Salé,Hay Karima,Appartement,02/04/2026,750000,80.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 80 m² Salé  « Hay Karima »",
Salé,Said Hajji,Appartement,29/03/2026,660000,90.0,à vendre,"2 chambre, 2 salon. Appartement meublé 4 pièces 90 m² Salé  « Said Hajji »",
Salé,Said Hajji,Appartement,27/03/2026,1100000,121.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 121 m² Salé  « Said Hajji »",
Salé,Hay Chmaou,Appartement,01/03/2026,792000,66.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 66 m² Salé  « Hay Chmaou »",
Salé,Sala El Jadida,Appartement,22/02/2026,396000,45.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 45 m² Salé  « Sala El Jadida »",
Salé,Hay Oued Dahab,Appartement,17/02/2026,250000,66.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 66 m² Salé  « Hay Oued Dahab »",
Salé,Said Hajji,Appartement,11/02/2026,490000,67.0,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 67 m² Salé  « Said Hajji »",
Salé,Tabriquet,Appartement,09/02/2026,480000,52.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 52 m² Salé  « Tabriquet »",
Salé,Said Hajji,Appartement,08/02/2026,540000,65.0,à vendre,"2 chambre, 1 salon. Appartement meublé 3 pièces 65 m² Salé  « Said Hajji »",
