Ville,Adresse,Type,Date,Prix,Surface,Operation,Description
Nador,Harhoura,Villa,24/02/2026,7700000,300,à vendre,"4 chambre, 4 salon, avec Garage. Villa  8 pièces 300 m² Temara  « Harhoura »"
Nador,Harhoura,Villa,23/02/2026,6900000,450,à vendre,"5 chambre, 3 salon. Villa  8 pièces 450 m² Temara  « Harhoura »"
Nador,Ain Atig,Villa,10/02/2026,3900000,250,à vendre,"4 chambre, 3 salon. Villa  7 pièces 250 m² Temara  « Ain Atig »"
El Jadida,Non spécifié,Villa,12/02/2026,1800000,9000,à vendre,"4 chambre, 2 salon, avec Garage. Villa  6 pièces 9000 m² Beni mellal"
Taza,Non spécifié,Villa,26/04/2026,1600000,280,à vendre,"4 chambre, 3 salon, avec Garage. Villa meublé 7 pièces 280 m² El jadida"
Taza,Non spécifié,Villa,10/03/2026,1300000,100,à vendre,"2 chambre, 2 salon, avec Garage. Villa  4 pièces 100 m² El jadida"
Rabat,Les Oudayas,Riad,23/02/2026,3100000,140,à vendre,"3 chambre, 1 salon. Riad  4 pièces 140 m² Rabat  « Les Oudayas »"
Fès,Fes Jdid,Riad,22/03/2026,140,350,à vendre,"6 chambre, 4 salon. Riad meublé 10 pièces 350 m² Fès  « Fes Jdid »"
Marrakech,Ancienne Médina,Riad,26/02/2026,1200000,50,à vendre,"2 chambre, 1 salon. Riad  3 pièces 50 m² Marrakech  « Ancienne Médina »"
Marrakech,Ancienne Médina,Riad,25/02/2026,45600000,760,à vendre,"15 chambre, 6 salon. Riad  21 pièces 760 m² Marrakech  « Ancienne Médina »"
Marrakech,Non spécifié,Riad,02/02/2026,5000,126,à vendre,"4 chambre, 2 salon. Riad  6 pièces 126 m² Marrakech"
Casablanca,Bourgogne,Bureau,28/03/2026,760000,42,à vendre,"1 chambre, avec Garage. Bureaux  1 pièces 42 m² Casablanca  « Bourgogne »"
Casablanca,La Gironde,Bureau,20/03/2026,480000,55,à vendre,3 chambre. Bureaux  3 pièces 55 m² Casablanca  « La Gironde »
Casablanca,Roches Noires,Bureau,10/02/2026,754000,120,à vendre,"2 chambre, avec Garage. Bureaux  2 pièces 120 m² Casablanca  « Roches Noires »"
Rabat,Agdal,Bureau,12/03/2026,3650000,230,à vendre,Bureaux   230 m² Rabat  « Agdal »
Tanger,Al Mandar Al Jamil,Bureau,30/04/2026,1450000,76,à vendre,1 chambre. Bureaux  1 pièces 76 m² Tanger  « Al Mandar Al Jamil »
Tanger,Non spécifié,Bureau,22/04/2026,3200000,123,à vendre,"2 chambre, 1 salon. Bureaux meublé 3 pièces 123 m² Tanger"
Tanger,Non spécifié,Bureau,10/02/2026,330000,18,à vendre,Bureaux   18 m² Tanger
Tanger,Non spécifié,Bureau,10/02/2026,1920000,160,à vendre,7 chambre. Bureaux  7 pièces 160 m² Tanger
Casablanca,Non spécifié,Local_Commercial,08/03/2026,950000,80,à vendre,Local commercial   80 m² Casablanca
Casablanca,Maarif,Local_Commercial,26/02/2026,3700000,141,à vendre,Local commercial   141 m² Casablanca  « Maarif »
Casablanca,Maarif,Local_Commercial,05/02/2026,7000000,185,à vendre,avec Garage. Local commercial   185 m² Casablanca  « Maarif »
Rabat,Médina De Rabat,Local_Commercial,18/04/2026,1000000,28,à vendre,"1 chambre, 1 salon. Local commercial  2 pièces 28 m² Rabat  « Médina De Rabat »"
Rabat,Yacoub El Mansour,Local_Commercial,19/02/2026,6422000,169,à vendre,Local commercial   169 m² Rabat  « Yacoub El Mansour »
Marrakech,Non spécifié,Local_Commercial,06/05/2026,3800000,80,à vendre,"3 chambre, 3 salon. Local commercial  6 pièces 80 m² Marrakech"
Marrakech,Sidi Youssef Ben Ali,Local_Commercial,09/04/2026,980000,34,à vendre,Local commercial   34 m² Marrakech  « Sidi Youssef Ben Ali »
Marrakech,Massira 1,Local_Commercial,19/02/2026,1400000,10,à vendre,Local commercial   10 m² Marrakech  « Massira 1 »
Tanger,Iberie,Local_Commercial,10/03/2026,4500000,2000,à vendre,avec Garage. Local commercial   2000 m² Tanger  « Iberie »
Meknès,Marjane 2,Local_Commercial,28/03/2026,320000,30,à vendre,Local commercial   30 m² Meknès  « Marjane 2 »
Oujda,Najd,Local_Commercial,22/04/2026,1000000,176,à vendre,"2 chambre, 2 salon, avec Garage. Local commercial  4 pièces 176 m² Oujda  « Najd »"
Oujda,Non spécifié,Local_Commercial,12/02/2026,2500000,140,à vendre,Local commercial   140 m² Oujda
Kénitra,Alliance,Local_Commercial,16/04/2026,400000,45,à vendre,Local commercial   45 m² Kenitra  « Alliance »
Salé,Non spécifié,Local_Commercial,06/05/2026,450000,26,à vendre,"1 chambre, 1 salon, avec Garage. Local commercial  2 pièces 26 m² Salé"
Salé,Non spécifié,Local_Commercial,12/02/2026,2100000,110,à vendre,avec Garage. Local commercial   110 m² Salé
Mohammedia,Derb Lfath,Local_Commercial,21/02/2026,620000,84,à vendre,Local commercial   84 m² Mohammedia  « Derb Lfath »
Settat,Non spécifié,Local_Commercial,30/04/2026,550000,38,à vendre,avec Garage. Local commercial   38 m² Nador
Rabat,Non spécifié,Ferme,10/04/2026,3750000,40000,à vendre,Ferme   40000 m² Rabat
Marrakech,Route De Fès,Ferme,05/02/2026,3200000,220,à vendre,"5 chambre, 4 salon, avec Garage. Ferme  9 pièces 220 m² Marrakech  « Route De Fès »"
Oujda,Non spécifié,Ferme,23/04/2026,600000,80,à vendre,"3 chambre, 1 salon. Ferme  4 pièces 80 m² Oujda"
Mohammedia,Non spécifié,Ferme,13/04/2026,7800000,80000,à vendre,Ferme   80000 m² Mohammedia
Mohammedia,Zenata,Ferme,29/03/2026,3400000,350,à vendre,"6 chambre, 2 salon. Ferme  8 pièces 350 m² Mohammedia  « Zenata »"
Taza,Non spécifié,Ferme,17/02/2026,500000,150,à vendre,Ferme   150 m² El jadida
